,ID,gender,owns_car,owns_realty,#_of_children,total_income,income_type,education,family_status,housing_type,mobile_cellphone?,work_phone?,home_phone?,email?,occupation,#_of_family_members,age,years_employed,MONTHS_BALANCE,STATUS
0,5008806,M,1,1,0,112500,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Security staff,2,59,3,-29,1
1,5008808,F,0,1,0,270000,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,1,0,1,1,Sales staff,1,52,8,-4,1
2,5008809,F,0,1,0,270000,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,1,0,1,1,Sales staff,1,52,8,-26,1
3,5008810,F,0,1,0,270000,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,1,0,1,1,Sales staff,1,52,8,-26,1
4,5008811,F,0,1,0,270000,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,1,0,1,1,Sales staff,1,52,8,-38,1
5,5008815,M,1,1,0,270000,Working,Higher education,Married,House / apartment,1,1,1,1,Accountants,2,46,2,-5,0
6,5112956,M,1,1,0,270000,Working,Higher education,Married,House / apartment,1,1,1,1,Accountants,2,46,2,-42,0
7,5008819,M,1,1,0,135000,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,2,49,3,-17,1
8,5008820,M,1,1,0,135000,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,2,49,3,-16,1
9,5008821,M,1,1,0,135000,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,2,49,3,-8,1
10,5008822,M,1,1,0,135000,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,2,49,3,-22,1
11,5008823,M,1,1,0,135000,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,2,49,3,-7,0
12,5008824,M,1,1,0,135000,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,2,49,3,-3,0
13,5008825,F,1,0,0,130500,Working,Incomplete higher,Married,House / apartment,1,0,0,0,Accountants,2,29,3,-25,0
14,5008826,F,1,0,0,130500,Working,Incomplete higher,Married,House / apartment,1,0,0,0,Accountants,2,29,3,-30,0
15,5008830,F,0,1,0,157500,Working,Secondary / secondary special,Married,House / apartment,1,0,1,0,Laborers,2,27,4,-31,1
16,5008831,F,0,1,0,157500,Working,Secondary / secondary special,Married,House / apartment,1,0,1,0,Laborers,2,27,4,-19,1
17,5008832,F,0,1,0,157500,Working,Secondary / secondary special,Married,House / apartment,1,0,1,0,Laborers,2,27,4,-34,1
18,5008836,M,1,1,3,270000,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,5,35,3,-24,0
19,5008837,M,1,1,3,270000,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,5,35,3,-18,0
20,5008838,M,0,1,1,405000,Commercial associate,Higher education,Married,House / apartment,1,0,0,0,Managers,3,32,6,-39,1
21,5008839,M,0,1,1,405000,Commercial associate,Higher education,Married,House / apartment,1,0,0,0,Managers,3,32,6,-13,0
22,5008840,M,0,1,1,405000,Commercial associate,Higher education,Married,House / apartment,1,0,0,0,Managers,3,32,6,-55,0
23,5008841,M,0,1,1,405000,Commercial associate,Higher education,Married,House / apartment,1,0,0,0,Managers,3,32,6,-4,1
24,5008842,M,0,1,1,405000,Commercial associate,Higher education,Married,House / apartment,1,0,0,0,Managers,3,32,6,-8,0
25,5008843,M,0,1,1,405000,Commercial associate,Higher education,Married,House / apartment,1,0,0,0,Managers,3,32,6,-29,0
26,5008844,M,1,1,0,112500,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,1,0,Drivers,2,56,12,-43,0
27,5008846,M,1,1,0,112500,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,1,0,Drivers,2,56,12,-11,0
28,5008847,M,1,1,0,112500,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,1,0,Drivers,2,56,12,-46,0
29,5008849,M,1,1,0,112500,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,1,0,Drivers,2,56,12,-51,0
30,5008850,M,1,1,0,112500,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,1,0,Drivers,2,56,12,-25,0
31,5008851,M,1,1,0,112500,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,1,0,Drivers,2,56,12,-11,0
32,5008852,M,1,1,0,112500,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,1,0,Drivers,2,56,12,0,0
33,5008853,M,1,1,0,112500,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,1,0,Drivers,2,56,12,-39,0
34,5008854,F,1,1,2,135000,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,4,43,9,-39,0
35,5008855,F,1,1,2,135000,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,4,43,9,-28,1
36,5008856,F,1,1,2,135000,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,4,43,9,-3,0
37,5008857,F,1,1,2,135000,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,4,43,9,-27,1
38,5008858,F,1,1,2,135000,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,4,43,9,-10,0
39,5008859,F,1,1,2,135000,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,4,43,9,-4,0
40,5008860,F,1,1,2,135000,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,4,43,9,-3,1
41,5008861,F,1,1,2,135000,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,4,43,9,-3,1
42,5008862,F,1,1,2,135000,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,4,43,9,-2,1
43,5008863,F,1,1,2,135000,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,4,43,9,-2,0
44,5008864,F,1,1,2,135000,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,4,43,9,-2,1
45,5008865,F,1,1,2,135000,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,4,43,9,-8,0
46,5008866,F,1,1,2,135000,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,4,43,9,-19,0
47,5008867,F,1,1,2,135000,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,4,43,9,-25,1
48,5112846,F,1,1,2,135000,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,4,43,9,-18,1
49,5008868,F,0,1,1,211500,State servant,Secondary / secondary special,Civil marriage,House / apartment,1,0,0,0,Core staff,3,44,19,-24,0
50,5008870,F,0,1,1,211500,State servant,Secondary / secondary special,Civil marriage,House / apartment,1,0,0,0,Core staff,3,44,19,-20,0
51,5008872,M,1,1,0,360000,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,1,0,Security staff,2,46,15,-10,1
